Observer,Date,Time,Sex,Age,Activity,PM,Tail Use,Prop-TW,Tail Angle,Substrate Characterstic,Substrate Size,Crown,Diet,Notes,
,,11:52,F,A,FR,HT,TMB,20,OU,2,L,L1,,,
,,3:04,M,A,FR,HT,TMB,30,OD,1,L,T,,,
,,10:21,F,PA,FR,HT,TW,40,H,3,S,M3,,,
,,11:41,M,A,FR,HT,TW,30,OD,3,S,L1,,,
,,11:56,M,J2,Fr,HT,TMB,10,OU,2,S,M2,FL,bromeliad,
,,12:07,F,A,F,HT,TMB,40,H,1,L,T,I,,
,,9:06,F,A,FR,HT,TW,30,OU,3,S,U2,,,
,,9:08,F,A,FR,HT,TMB,10,H,3,S,M3,,,
,,9:57,M,A,FR,HT,TMB,20,H,C,S,L1,,FACING DOWN,
,,11:36,M,J2,Fr,HT,TMB,30,OU,3,M,L,I,,
,,8:34,M,J2,FR,HT,TMB,20,H,2,S,M2,,,
,,12:19,M,PA,FR,HT,TMB,20,H,2,S,L1,,,
,,7:31,F,J2,F,HT,TMB,20,H,2,S,M3,,,
,,8:03,M,J2,Fr,HT,TMB,20,OU,2,S,",3",FR,early (unripe) guava?,
,,8:13,M,J2,F,HT,TMB,30,OU,2,S/M,",3",FR,,
,,9:00,M,J2,AP,HT,TMB,30,OU,2,M,M1,,,
,,9:12,F,J2,Fr,HT,TMB,10,OD,2,S/L,L1,,,
,,9:30,F,PA,F,HT,TMB,30,OU,2,S,M3,FR,,
,,10:25,M,J2,Fr,HT,TMB,20,H,1,M,TG,FR,retrieve guava from ground,
,,12:32,M,A,F,HT,TW,20,OU,1,L,T,I,,
,,12:34,M,A,FR,HT,TMB,20,OU,2,S/M,T,,,
,,11:37,M,J2,Fr,HT,TMB,10,VU,3,S,M3,I,,
,,11:45,M,J2,F,HT,TT,,OU,2,S,M3,FR,,
,,12:20,F,J1,T,HT,TMB,20,OU,2,S,L2,FR,,
,,12:47,M,J2,F,HT,TMB,10,OU,2,S,M3,,,
,,1:06,M,J2,F,HT,TMB,30,VU,C,S,M3,FR,,
,,1:11,F,J1,Fr,HT,TMB,30,OU,1,M,L1,FL,,
,,1:55,F,J2,F,HT,TMB,100,OD,2,L,P,,,
,,8:59,M,J2,Fr,HT,,100,OU,2,L,M1,,,
,,9:02,M,J2,SB,HT,,30,OU,2,L,UNK,,groom act,
,,10:42,F,J2,AP,HT,TW,5,H,C,,UNK,,,
,,8:27,M,J2,F,HT,TMB,10,VU,3,M,H,FR,blue berry,
,,12:01,F,J1,FR,HT,TMB,30,OU,2,S,L1,,,
,,10:25,M,J2,F,HT,TMB,40,OU,2,M,L1,I,,
,,5:52,M,PA,FR,HT,TMB,10,H,2,S,U2,,,
,,5:54,M,PA,FR,HT,TMB,10,H,2,S,U3,,,
,,7:05,M,PA,FR,HT,TMB,20,OU,3,S,M3,,,
,,5:54,F,J2,F,HT,TMB,10,OU,2,S,UNK,FR,,
,,6:43,U,J2,F,HT,TMB,40,OU,2,S/M,L2,FR,,
,,7:29,M,J2,F,HT,TMB,10,OU,2,S,M2,FR,,
,,11:29,F,J2,Fr,HT,TW,10,VU,2,S,M3,,,
,,12:13,M,J2,F,HT,TMB,20,OU,C,S,U1,FR,,
,,5:49,F,A,F,HT,TMB,30,OU,2,L,U1,L,legume,
,,6:36,F,J2,FR,HT,TMB,40,VU,2,S,L3,,,
,,7:17,F,A,FR,HT,TMB,20,OU,2,S,U1,,,
,,8:28,M,A,FR,HT,TMB,20,OU,2,S,M3,,,
,,8:52,M,J2,FR,HT,TW,10,OU,2,S,M1,,,
,,9:14,M,J2,T,HT,TW,20,H,2,S,M1,,,
,,11:30,F,A,FR,HT,TMB,20,OU,1,L,T,,receive groom,
,,8:27,F,J2,F,HT,TMB,10,OU,2,S,M3,FR,,
,,8:09,M,PA,F,HT,TMB,10,H,3,S,M3,FR,,
,,8:10,M,PA,Fr,HT,TMB,10,H,3,S,M3,FR,,
,,8:57,F,A,FR,HT,TW,20,H,C,S,L3,,,
,,7:18,F,A,FR,HT,TMB,20,H,2,S,M2,,,
,,8:38,M,J2,FR,HT,TW,10,OU,2,S,M3,,,
,,8:44,F,PA,FR,HT,TW,10,VU,3,S,L3,,,
,,8:50,F,PA,FR,HT,TMB,20,OU,3,S,M3,,,
,,8:51,F,PA,FR,HT,TMB,20,OU,3,S,M3,,,
,,9:15,M,J2,FR,HT,TW,20,H,3,S,L3,,,
,,9:25,M,J2,AP,HT,TMB,20,OD,3,S,L3,,,
,,11:11,M,PA,FR,HT,TMB,20,,C,S,U3,,,
,,11:17,M,PA,FR,HT,TMB,10,OD,2,S,U3,,,
,,7:22,F,J2,F,HT,TMB,10,H,3,S,L/M3,FR,,
,,8:41,F,J2,F,HT,TMB,10,OU,3,S,M3,FR,,
,,8:42,F,J2,F,HT,TMB,10,H,3,S,M3,,,
,,11:08,F,J2,F,HT,TMB,20,H,C,S,M3,FR?,,
,,1:06,F,J2,Fr,HT,TMB,10,OU,2,S,L1,,epiphyte,
,,1:07,F,J2,Fr,HT,TMB,10,OU,2,S,L1,,,
,,1:08,F,J2,Fr,HT,TMB,10,OU,2,S,L1,,,
,,6:30,F,A,FR,HT,TMB,20,OU,1,L,T,,caught a large bug,
,,12:21,F,A,FR,HT,TMB,10,VD,3,S,L3,,,
,,12:41,M,A,FR,HT,TW,100,H,1,L,T,,,
,,2:26,F,A,AP,HT,TW,10,OU,2,S,U3,,,
,,2:45,M,J1,F,HT,TW,20,H,2,M/S,L1,I,,
,,9:17,F,J2,F,HT,TMB,20,H,3,S,M3,FR,,
,,7:57,M,PA,F,HT,TMB,20,H,3,S,L2,FR,,
,,6:29,M,A,Fr,HT,TMB,10,OD,2,S,M2,,,
,,2:57,M,J2,FR,HT,TMB,20,H,1,L,T,,,
,,3:01,M,J2,F,HT,TMB,40,OU,2,L/S,T/U2,,,
,,3:38,F,J2,FR,HT,TW,20,H,3,S,M3/FC,,,
,,3:42,F,J2,FR,HT,TW,20,H,2,S/M,M3,,,
,,3:54,F,A,F,HT,TMB,20,H,C,S,L3,FR,,
,,3:45,F,J2,Fr,HT,TMB,10,VU,2,S,M2,FR,,
,,3:52,F,J2,F,HT,TMB,10,OD,2,S,M3,FR,,
,,3:55,F,J2,F,HT,TMB,20,VU,2,S,M3,FR,,
,,8:05,F,A,Fr,HT,TMB,20,H,2,S,L3,I,,
,,9:39,M,A,F,HT,TMB,10,H,3,S,M3,FR,tail kinked over branch before wrap,
,,9:55,M,J1,F,HT,TMB,10,H,3,S,M3,FR,,
,,10:36,M,A,Fr,HT,TMB,30,H,2,S,U2,I,,
,,8:30,F,J2,AP,HT,TMB,20,H,2,S,M3,,,
,,9:40,M,PA,FR,HT,TMB,10,H,3,S,M3,,,
,,10:44,M,J2,AP,HT,TW,20,OU,2,M,M1,,,
,,11:14,M,J2,FR,HT,TW,20,H,2,S,L1,,,
,,6:27,M,J2,F,HT,TMB,20,OU,2,S/M,M2,FR,,
,,7:16,F,J2,F,HT,TMB,10,VU,C,S,L3,FR,,
,,9:37,F,A,F,HT,TMB,30,OU,3,S,M2,FR,,
,,11:38,M,J2,F,HT,TMB,10,OU,2,M,M2,FR,,
,,12:09,M,J1,SB,HT,TW,30,OU,2,S,U3,,investigating others' food,
,,9:06,F,J2,F,HT,TMB,30,OU,3,L/S,L1/U3,FR,rain,
,,9:07,F,J2,FR,HT,TMB,20,OU,3,S,L1,,best BPU ever!,
,,9:47,M,J2,FR,HT,TW,20,H,2,M,TG,,,
,,12:53,F,A,FR,HT,TMB,20,H,2,S,M2,,,
Natasha Mazumdar,8/22/2013,6:09,M,A,F,HT,TMB,20,OU,2,S,M1,FR,,
,,8:28,U,J2,SB,HT,TMB,20,H,2,S/L,L2,,play w. M A?,
,,8:42,F,J1,Fr,HT,TMB,20,OU,2,S,M2,I,,
,,8:46,F,J1,Fr,HT,TMB,30,H,2,S,U2,FR,,
,,8:53,F,J1,F,HT,TMB,20,VU,C,S,L3,FR,,
,,9:02,F,J1,F,HT,TMB,10,OD,C,S,U1,FR,,
,,9:03,F,J1,F,HT,TMB,20,VU,2,S,U2,FR,,
,,9:45,M,A,Fr,HT,TMB,40,H,2,S,L2,I,,
,,1:11,F,J2,Fr,HT,TMB,90,H,1,L,L1,FR,,
,,9:45,F,A,FR,HT,TMB,10,H,2,S,L2,,,
,,9:49,F,A,FR,HT,TMB,10,OU,2,S,M3,,,
,,9:50,F,A,FR,HT,TMB,10,H,2,M/S,L1,,,
,,12:56,M,PA,FR,HT,TMB,10,H,3,S,M3,,,
,,8:36,M,A,F,HT,TMB,20,H,3,S,M3,FR,,
,,8:55,F,A,FR,HT,TMB,20,H,3,S,M3,,,
,,9:30,M,J2,F,HT,TMB,20,OU,1,M,T,FR,,
,,12:26,M,PA,FR,HT,TMB,20,VU,2,S,L,,,
,,8:07,M,PA,F,HT,TMB,30,H,3,S,L3,FR,,
,,8:10,M,PA,F,HT,TMB,20,OU,2,S,L3,FR,,
,,10:34,M,A,F,HT,TMB,60,H,3,S/L,M2,FR,,
,,11:49,M,J2,F,HT,TMB,10,VU,3,S,UNK,FR,,
,,11:51,M,J2,Fr,HT,TMB,20,OD,3,S,L,U,,
,,8:16,F,A,Fr,HT,TW,10,OD,2,M,M3,FR,,
,,10:08,F,A,F,HT,TMB,20,OU,2,S,L3,FR,,
,,10:09,F,A,Fr,HT,TMB,20,OU,2,S,L3,FR,,
,,1:46,F,A,Fr,HT,TMB,20,OU,3,S,M3,FR,,
,,6:16,M,J2,F,HT,TMB,20,H,2,L/S,M3/T,I,,
,,11:20,M,A,FR,HT,TMB,30,H,1,S,L3,,,
,,11:25,F,A,Fr,HT,TMB,40,OU,1,L,T,FR,,
,,7:39,M,J1,F,HT,TMB,20,OU,3,S,L3,FR,,
,,8:43,M,PA,F,HT,TMB,20,OU,3,S,L3,FR,,
,,8:44,M,PA,F,HT,TMB,20,H,3,S,L3,FR,,
,,8:46,M,PA,F,HT,TMB,10,OD,3,S,L3,FR,,
,,8:48,M,PA,F,HT,TMB,20,H,3,S,L3,FR,,
,,8:49,M,PA,F,HT,TMB,10,OU,3,S,M3,FR,,
,,11:12,M,J2,Fr,HT,TMB,20,VU,2,S,L2,,,
,,11:55,F,J2,FR,HT,TMB,20,OD,2,S/M,M3,,,
,,9:22,M,A,FR,HT,TMB,10,H,3,S,U3,,,
